Order,Order Quantity,Sales,Ship Mode,Profit,Shipping Cost,Province
1224,36,218.6,Express Air,46.43,19.82,Munster
1225,48,92.25,Regular Air,104.8,8.09,Connacht
1226,17,378.08,Regular Air,70.48,5.34,Leinster
1227,26,1096.17,Regular Air,110.78,37.86,Munster
1228,32,1829.3870000000002,Regular Air,482.45,64.49,Munster
1229,33,3633.03,Regular Air,1440.27,157.08,Leinster
1230,16,139.37,Express Air,1.72,4.98,Munster
1231,34,1177.5,Regular Air,420.05,136.11,Ulster
1232,29,264.78,Regular Air,53.05,19.13,Connacht
1233,25,767.26,Regular Air,29.56,24.22,Ulster
1234,15,308.54,Express Air,76.42,23.86,Connacht
1235,3,39.49,Regular Air,12.99,0.91,Leinster
1236,28,1717.88,Express Air,513.93,228.25,Leinster
1237,43,74.17,Regular Air,13.4,5.93,Leinster
1238,19,365.64,Regular Air,22.77,70.99,Connacht
1239,3,561.43,Delivery Truck,199.46,27.75,Connacht
1240,41,1803.12,Regular Air,544.93,169.88,Connacht
1241,23,67.47,Regular Air,100.6,1.11,Ulster
1242,3,62.88,Regular Air,25.96,5.93,Ulster
1243,6,326.893,Regular Air,223.21,13.34,Munster
1244,37,438.07,Express Air,12.06,69.7,Munster
1245,28,120.54,Regular Air,6.52,5.0,Ulster
1246,26,78.03,Regular Air,0.51,1.12,Munster
1247,49,1058.43,Regular Air,245.0,14.25,Munster
1248,46,1221.47,Regular Air,233.14,33.75,Leinster
1249,21,3323.44,Regular Air,99.88,652.37,Munster
1250,17,117.33,Regular Air,10.31,6.05,Leinster
1251,7,2789.03,Delivery Truck,303.44,102.87,Connacht
1252,40,57.24,Express Air,14.1,0.6,Connacht
1253,35,2463.2405,Express Air,310.57,147.92,Munster
1254,3,26.53,Regular Air,15.0,1.13,Connacht
1255,23,450.39,Regular Air,152.79,13.84,Munster
1256,50,281.39,Regular Air,106.4,18.85,Leinster
1257,31,92.18,Regular Air,5.7,1.14,Munster
1258,48,2750.7105,Regular Air,791.9,87.85,Leinster
1259,38,3701.5205,Regular Air,894.06,120.08,Ulster
1260,31,477.16,Regular Air,204.18,42.65,Connacht
1261,39,286.81,Regular Air,110.05,10.89,Leinster
1262,14,71.47,Regular Air,62.73,5.12,Munster
1263,38,132.07,Regular Air,14.0,24.7,Connacht
1264,35,448.1,Express Air,15.07,37.12,Connacht
1265,9,163.78,Regular Air,43.03,28.61,Munster
1266,21,2731.73,Express Air,310.59,246.09,Connacht
1267,23,2508.673,Regular Air,417.47,97.22,Connacht
1268,40,1718.87,Regular Air,754.1,5.87,Munster
1269,32,176.77,Express Air,41.6,5.41,Leinster
1270,21,86.64,Regular Air,73.07,3.78,Connacht
1271,19,10351.01,Delivery Truck,1331.55,893.47,Connacht
1272,14,1676.44,Regular Air,607.5,20.17,Leinster
1273,8,1265.2930000000001,Regular Air,554.44,125.39,Munster
1274,1,12.2,Regular Air,33.93,0.32,Ulster
1275,19,332.38,Regular Air,89.95,15.13,Leinster
1276,44,2322.812,Express Air,454.38,82.53,Ulster
1277,8,64.1,Regular Air,48.28,0.81,Ulster
1278,49,2012.14,Regular Air,241.74,32.69,Connacht
1279,33,199.62,Regular Air,42.34,7.75,Leinster
1280,29,577.89,Regular Air,53.89,38.98,Munster
1281,20,67.03,Regular Air,30.4,1.93,Ulster
1282,29,265.92,Regular Air,79.67,10.93,Munster
1283,46,4601.02,Delivery Truck,129.53,591.33,Leinster
1284,8,1383.9189999999999,Regular Air,433.49,31.19,Munster
1285,25,2493.24,Regular Air,293.66,427.83,Connacht
1286,12,136.1,Regular Air,3.78,25.22,Leinster
1287,32,1974.66,Express Air,929.68,150.91,Ulster
1288,45,4282.725,Regular Air,1371.74,304.54,Ulster
1289,25,3308.28,Delivery Truck,581.59,206.12,Munster
1290,15,605.1,Express Air,92.81,41.06,Ulster
1291,20,4108.17,Regular Air,505.98,186.22,Leinster
1292,42,309.17,Regular Air,283.31,6.09,Ulster
1293,38,15174.95,Delivery Truck,7251.92,1056.18,Connacht
1294,23,136.81,Regular Air,30.51,22.12,Leinster
1295,1,52.0965,Regular Air,232.8,2.94,Ulster
1296,34,3130.2015,Express Air,692.78,306.26,Munster
1297,40,115.51,Regular Air,5.54,3.2,Munster
1298,38,710.33,Express Air,62.53,8.82,Leinster
1299,45,168.66,Regular Air,167.06,16.2,Connacht
1300,10,125.95,Regular Air,15.73,9.26,Ulster
1301,3,75.77,Regular Air,64.25,7.42,Leinster
1302,46,636.5,Regular Air,71.98,124.71,Connacht
1303,49,541.47,Regular Air,90.62,16.12,Munster
1304,18,125.8,Regular Air,35.98,8.91,Leinster
1305,4,73.9,Regular Air,39.64,14.75,Leinster
1306,24,10094.43,Regular Air,4451.01,1443.87,Connacht
1307,46,7640.225,Regular Air,2027.68,414.93,Connacht
1308,38,1143.35,Express Air,411.1,3.6,Ulster
1309,23,987.17,Regular Air,51.59,38.59,Ulster
1310,39,147.46,Regular Air,14.13,15.26,Leinster
1311,43,277.08,Regular Air,179.11,32.74,Munster
1312,41,198.29,Regular Air,134.41,1.22,Connacht
1313,23,2149.03,Regular Air,235.56,72.43,Leinster
1314,49,8223.07,Express Air,2549.4,592.14,Connacht
1315,31,353.25,Regular Air,60.06,62.17,Connacht
1316,43,4072.01,Regular Air,1675.98,34.3,Ulster
1317,37,288.55,Regular Air,133.7,12.32,Ulster
1318,42,619.77,Regular Air,50.24,100.56,Connacht
1319,8,709.37,Delivery Truck,281.76,16.97,Ulster
1320,4,883.31,Delivery Truck,79.96,85.37,Munster
1321,36,260.13,Regular Air,133.98,2.09,Connacht
1322,8,71.1,Regular Air,2.29,4.18,Ulster
1323,26,2379.3285,Regular Air,284.59,320.87,Connacht
1324,37,192.15,Express Air,37.31,6.04,Leinster
1325,42,1634.9,Regular Air,502.42,247.85,Connacht
1326,14,302.4,Regular Air,134.21,23.49,Connacht
1327,34,507.66,Regular Air,106.71,42.85,Leinster
1328,50,2337.03,Regular Air,37.19,302.44,Ulster
1329,23,415.055,Regular Air,44.13,24.1,Connacht
1330,19,55.27,Regular Air,19.12,9.28,Connacht
1331,27,3316.08,Delivery Truck,514.32,578.98,Munster
1332,10,266.94,Regular Air,19.2,8.0,Ulster
1333,20,2850.31,Regular Air,569.08,203.96,Ulster
1334,25,172.42,Regular Air,71.6,29.97,Munster
1335,39,140.74,Regular Air,92.29,8.24,Leinster
1336,34,6607.92,Regular Air,1462.72,71.29,Munster
1337,43,279.83,Regular Air,77.04,21.34,Connacht
1338,41,23281.05,Regular Air,9097.65,1815.44,Ulster
1339,1,12.18,Regular Air,3.88,0.66,Ulster
1340,5,647.27,Delivery Truck,404.77,116.25,Connacht
1341,7,73.86,Regular Air,52.49,12.56,Ulster
1342,33,325.92,Regular Air,36.47,27.43,Connacht
1343,36,277.88,Regular Air,64.41,10.38,Munster
1344,6,43.9,Regular Air,12.74,3.64,Leinster
1345,5,627.64,Delivery Truck,151.46,43.47,Connacht
1346,36,772.67,Regular Air,286.87,4.18,Leinster
1347,3,121.26,Regular Air,12.52,8.48,Munster
1348,22,123.4,Regular Air,30.5,10.04,Leinster
1349,31,163.89,Regular Air,108.55,1.47,Munster
1350,46,991.36,Regular Air,212.06,149.95,Leinster
1351,41,1618.31,Express Air,504.71,80.81,Munster
1352,40,4152.55,Regular Air,813.33,254.07,Munster
1353,17,48.24,Regular Air,1.62,0.99,Munster
1354,15,9862.51,Regular Air,325.29,97.7,Connacht
1355,45,161.67,Regular Air,7.71,13.17,Connacht
1356,44,2773.84,Delivery Truck,513.76,355.36,Leinster
1357,17,57.96,Regular Air,47.32,2.68,Connacht
1358,5,252.66,Regular Air,32.86,11.8,Ulster
1359,50,6277.75,Delivery Truck,592.43,73.24,Leinster
1360,11,1132.6,Regular Air,310.21,43.14,Ulster
1361,19,71.77,Regular Air,22.71,1.99,Ulster
1362,39,977.92,Express Air,148.89,36.32,Connacht
1363,48,308.81,Regular Air,128.28,19.53,Connacht
1364,39,199.39,Express Air,101.13,27.36,Ulster
1365,34,4281.13,Delivery Truck,1446.08,385.49,Ulster
1366,5,33.41,Regular Air,3.48,2.71,Connacht
1367,47,1413.82,Regular Air,226.53,243.55,Leinster
1368,45,16699.56,Delivery Truck,3083.98,1469.97,Ulster
1369,3,18.91,Regular Air,16.35,1.34,Leinster
1370,8,129.18,Regular Air,30.02,10.69,Leinster
1371,39,4799.7885,Regular Air,1231.89,201.68,Leinster
1372,45,1090.6,Regular Air,300.91,26.0,Connacht
1373,8,56.5,Regular Air,17.16,2.38,Leinster
1374,2,22.07,Regular Air,15.45,0.75,Connacht
1375,43,287.61,Regular Air,101.5,52.94,Leinster
1376,34,334.66,Regular Air,132.56,32.55,Connacht
1377,15,55.2,Regular Air,4.26,2.94,Munster
1378,14,2151.08,Delivery Truck,179.05,43.67,Ulster
1379,21,330.22,Regular Air,51.72,4.45,Connacht
1380,19,513.5,Regular Air,82.96,23.51,Ulster
1381,15,80.61,Regular Air,4.72,0.83,Leinster
1382,4,23.23,Regular Air,19.06,4.21,Leinster
1383,33,3387.32,Regular Air,1413.52,54.56,Munster
1384,11,617.219,Express Air,136.09,5.04,Leinster
1385,24,131.65,Express Air,67.41,0.09,Ulster
1386,6,830.28,Delivery Truck,382.98,42.57,Leinster
1387,17,1616.64,Regular Air,26.94,151.02,Connacht
1388,32,1929.19,Regular Air,570.67,332.88,Ulster
1389,16,48.57,Regular Air,4.21,3.63,Munster
1390,21,352.44,Regular Air,80.53,20.55,Leinster
1391,17,240.87,Regular Air,36.77,1.2,Connacht
1392,36,9544.18,Express Air,3392.88,111.6,Ulster
1393,19,3093.864,Regular Air,286.4,276.47,Connacht
1394,23,193.79,Regular Air,117.16,11.68,Leinster
1395,33,5352.9345,Regular Air,1343.21,500.75,Leinster
1396,42,2414.9945,Express Air,624.71,143.47,Leinster
1397,46,12719.7,Delivery Truck,545.82,743.04,Munster
1398,1,34.09,Express Air,19.9,0.5,Leinster
1399,29,593.32,Regular Air,28.99,100.11,Ulster
1400,34,225.98,Regular Air,135.74,23.91,Munster
1401,6,112.4,Regular Air,46.75,9.5,Leinster
1402,36,825.82,Regular Air,1049.26,81.34,Leinster
1403,5,39.44,Regular Air,0.94,0.17,Leinster
1404,36,1773.86,Delivery Truck,133.3,300.55,Leinster
1405,21,7512.03,Express Air,2017.64,196.05,Ulster
1406,7,57.03,Regular Air,31.38,3.09,Connacht
1407,25,113.8,Regular Air,84.08,9.23,Munster
1408,47,21555.6,Delivery Truck,8965.83,810.84,Ulster
1409,15,520.65,Regular Air,30.63,30.53,Connacht
1410,24,2343.076,Regular Air,311.64,155.52,Leinster
1411,22,887.98,Regular Air,239.94,67.34,Connacht
1412,14,1892.848,Regular Air,48.99,116.34,Ulster
1413,16,506.84,Regular Air,38.32,49.92,Leinster
1414,21,1090.11,Regular Air,55.87,164.84,Leinster
1415,45,11532.99,Delivery Truck,2753.39,422.18,Leinster
1416,23,849.46,Regular Air,9.06,79.89,Ulster
1417,18,55.35,Express Air,56.63,4.7,Connacht
1418,40,1865.5885,Regular Air,972.9,303.74,Connacht
1419,23,143.1,Regular Air,36.75,2.74,Munster
1420,3,58.63,Regular Air,40.86,9.39,Leinster
1421,17,1556.61,Regular Air,485.55,217.42,Leinster
1422,40,382.65,Express Air,47.61,29.31,Ulster
1423,20,677.9,Regular Air,196.36,129.83,Leinster
1424,41,417.53,Regular Air,309.06,11.38,Ulster
1425,19,3355.1540000000005,Regular Air,658.5,49.84,Connacht
1426,40,264.6,Express Air,93.06,17.15,Ulster
1427,16,130.11,Regular Air,47.69,7.09,Munster
1428,38,65.12,Regular Air,1.42,2.0,Leinster
1429,24,131.94,Regular Air,2.32,7.1,Leinster
1430,27,462.366,Regular Air,120.05,18.32,Ulster
1431,13,759.94,Delivery Truck,226.45,71.13,Ulster
1432,28,205.43,Express Air,24.3,8.73,Ulster
1433,49,638.91,Regular Air,77.48,118.33,Connacht
1434,47,3587.72,Delivery Truck,54.23,319.55,Munster
1435,36,2167.05,Regular Air,684.9,239.47,Ulster
1436,2,738.8,Delivery Truck,473.66,36.19,Ulster
1437,2,38.5,Regular Air,52.14,3.78,Connacht
1438,46,476.49,Regular Air,18.57,53.49,Munster
1439,48,3005.74,Express Air,1053.21,492.38,Ulster
1440,41,7174.9435,Express Air,2373.24,104.32,Munster
1441,44,1207.4,Regular Air,25.23,69.46,Connacht
1442,37,319.39,Regular Air,39.33,3.05,Munster
1443,27,197.15,Express Air,23.34,31.26,Leinster
1444,11,30.61,Regular Air,3.38,3.95,Ulster
1445,8,55.59,Express Air,17.95,2.92,Ulster
1446,29,5433.0895,Regular Air,1365.28,157.37,Connacht
1447,12,162.11,Express Air,3.91,7.92,Leinster
1448,30,3665.41,Regular Air,1236.36,524.78,Ulster
1449,12,22079.47,Regular Air,5322.14,564.37,Connacht
1450,32,102.59,Regular Air,8.88,16.02,Munster
1451,37,158.62,Regular Air,104.57,12.38,Munster
1452,30,2536.31,Regular Air,643.46,145.68,Leinster
1453,22,119.63,Regular Air,27.39,1.84,Connacht
1454,6,11.57,Regular Air,2.06,0.0,Munster
1455,43,7286.65,Delivery Truck,474.89,72.59,Munster
1456,12,313.43,Regular Air,104.03,9.15,Leinster
1457,2,15.26,Regular Air,7.51,2.87,Connacht
1458,40,240.18,Regular Air,160.21,37.17,Leinster
1459,20,340.952,Regular Air,108.94,9.92,Leinster
1460,36,63.53,Regular Air,2.51,4.42,Connacht
1461,45,261.0,Express Air,43.45,0.45,Ulster
1462,16,102.73,Regular Air,16.33,1.84,Ulster
1463,19,1406.15,Delivery Truck,379.1,215.67,Ulster
1464,25,265.75,Regular Air,14.0,35.2,Ulster
1465,44,444.52,Regular Air,161.13,29.23,Leinster
1466,1,46.94,Regular Air,26.54,4.15,Connacht
1467,38,2157.3085,Regular Air,519.25,153.32,Leinster
1468,34,971.95,Express Air,21.1,22.27,Connacht
1469,47,12569.31,Delivery Truck,3160.63,792.84,Munster
1470,46,7535.96,Regular Air,2745.87,1448.45,Munster
1471,12,1323.5435,Express Air,34.73,4.67,Munster
1472,2,25.52,Regular Air,21.77,1.17,Ulster
1473,31,34.22,Regular Air,3.19,2.91,Leinster
1474,12,1755.3,Delivery Truck,7.01,31.68,Leinster
1475,8,1273.266,Regular Air,615.67,48.37,Connacht
1476,15,102.32,Regular Air,32.7,2.85,Leinster
1477,39,15260.78,Delivery Truck,8734.88,2771.84,Leinster
1478,16,92.06,Regular Air,5.66,9.7,Connacht
1479,9,196.12,Express Air,4.41,0.48,Munster
1480,32,4834.8,Regular Air,1193.11,92.62,Connacht
1481,19,773.83,Regular Air,146.79,34.74,Ulster
1482,50,3075.83,Regular Air,1207.91,177.58,Ulster
1483,38,1483.44,Regular Air,439.77,23.95,Ulster
1484,48,2962.96,Delivery Truck,612.94,499.52,Connacht
1485,31,293.52,Regular Air,116.66,16.81,Connacht
1486,36,3722.29,Express Air,950.68,35.18,Ulster
1487,45,4475.0,Delivery Truck,1523.77,400.35,Leinster
1488,21,205.32,Express Air,37.3,2.4,Ulster
1489,21,1503.49,Regular Air,408.73,125.15,Ulster
1490,32,89.89,Regular Air,8.16,5.43,Leinster
1491,8,922.47,Delivery Truck,13.1,81.25,Munster
1492,34,6264.1855,Regular Air,1312.04,587.52,Munster
1493,31,336.34,Regular Air,89.9,31.25,Munster
1494,7,50.47,Regular Air,31.7,4.12,Leinster
1495,9,2502.67,Delivery Truck,198.8,145.81,Connacht
1496,26,4688.9485,Regular Air,1215.44,332.6,Leinster
1497,45,13921.6,Regular Air,5183.04,1482.02,Ulster
1498,18,1713.8,Regular Air,1125.29,115.3,Connacht
1499,25,536.21,Regular Air,106.98,80.28,Connacht
1500,12,1940.21,Regular Air,215.34,125.43,Munster
1501,29,1777.469,Regular Air,166.37,4.72,Connacht
1502,14,294.52,Regular Air,15.34,19.55,Connacht
1503,20,38.56,Regular Air,10.25,5.43,Munster
1504,15,269.2,Express Air,69.61,13.66,Connacht
1505,5,1386.6,Delivery Truck,556.18,128.55,Connacht
1506,31,53.33,Regular Air,2.44,1.24,Ulster
1507,19,327.15,Regular Air,47.3,15.61,Munster
1508,34,226.41,Regular Air,164.89,13.91,Leinster
1509,9,373.48,Express Air,112.06,3.13,Leinster
1510,24,2722.85,Delivery Truck,112.62,197.64,Ulster
1511,22,1505.67,Delivery Truck,436.23,43.89,Leinster
1512,14,225.47,Regular Air,29.07,21.41,Munster
1513,21,315.07,Regular Air,95.0,38.46,Connacht
1514,3,210.5025,Regular Air,315.33,6.47,Ulster
1515,48,843.03,Regular Air,419.9,43.28,Ulster
1516,34,216.3,Regular Air,103.16,27.94,Connacht
1517,31,614.35,Express Air,78.89,44.33,Munster
1518,19,117.27,Regular Air,35.45,17.9,Leinster
1519,45,1553.38,Regular Air,180.88,128.41,Connacht
1520,5,26.5,Express Air,2.61,0.4,Connacht
1521,30,1533.46,Regular Air,730.44,2.05,Connacht
1522,34,4771.89,Delivery Truck,427.99,112.16,Connacht
1523,7,43.29,Regular Air,39.12,2.72,Ulster
1524,17,988.6435,Regular Air,89.89,118.98,Connacht
1525,15,17.77,Regular Air,37.67,1.43,Leinster
1526,45,854.14,Regular Air,94.0,1.47,Leinster
1527,26,7668.55,Delivery Truck,715.78,474.57,Ulster
1528,5,53.66,Regular Air,5.69,1.96,Ulster
1529,32,4941.7725,Regular Air,704.89,267.12,Leinster
1530,33,112.36,Regular Air,159.74,7.24,Leinster
1531,8,863.5830000000001,Regular Air,264.28,119.96,Munster
1532,42,163.08,Regular Air,66.17,12.15,Ulster
1533,23,220.82,Express Air,77.68,3.09,Munster
1534,49,4273.95,Regular Air,1340.07,638.73,Connacht
1535,6,934.216,Delivery Truck,4.34,34.94,Leinster
1536,29,11039.75,Delivery Truck,2148.97,988.87,Connacht
1537,13,196.22,Regular Air,89.35,15.34,Munster
1538,44,797.98,Regular Air,237.47,99.4,Ulster
1539,6,453.87,Regular Air,217.69,25.76,Connacht
1540,18,231.06,Regular Air,29.83,8.75,Ulster
1541,12,2230.97,Delivery Truck,273.27,130.51,Leinster
1542,43,1374.7,Express Air,90.3,42.27,Munster
1543,9,519.9535,Regular Air,107.99,20.63,Leinster
1544,34,211.86,Regular Air,239.32,15.86,Connacht
1545,13,52.38,Regular Air,11.72,2.08,Munster
1546,27,1087.58,Regular Air,514.45,159.82,Leinster
1547,19,110.67,Regular Air,43.75,0.5,Munster
1548,22,1900.47,Delivery Truck,202.73,138.15,Munster
1549,29,623.02,Regular Air,255.66,58.89,Ulster
1550,4,649.2385,Regular Air,830.72,112.87,Leinster
1551,36,475.92,Regular Air,95.3,43.34,Leinster
1552,23,82.12,Regular Air,121.59,2.55,Leinster
1553,49,162.16,Regular Air,24.95,21.6,Leinster
1554,37,1520.26,Regular Air,640.84,137.69,Munster
1555,20,42.22,Regular Air,7.73,1.85,Munster
1556,23,6572.04,Regular Air,1579.34,929.15,Ulster
1557,10,403.88,Regular Air,48.03,20.95,Connacht
1558,1,159.51,Delivery Truck,103.63,6.71,Connacht
1559,18,821.7885,Express Air,230.34,6.63,Connacht
1560,7,44.05,Regular Air,21.77,2.24,Ulster
1561,38,79.81,Regular Air,5.48,15.26,Leinster
1562,39,18561.31,Delivery Truck,4822.42,1581.93,Leinster
1563,39,1836.1870000000001,Regular Air,139.84,114.01,Leinster
1564,18,120.96,Regular Air,53.69,6.89,Munster
1565,35,590.32,Regular Air,91.31,34.71,Munster
1566,27,4891.86,Delivery Truck,253.14,70.72,Connacht
1567,26,448.23,Regular Air,110.6,41.19,Ulster
1568,6,250.37599999999998,Regular Air,131.85,20.43,Ulster
1569,15,606.56,Regular Air,20.23,6.31,Ulster
1570,18,388.13,Regular Air,40.11,8.86,Leinster
1571,13,1265.497,Regular Air,228.18,60.36,Leinster
1572,7,34.66,Regular Air,20.87,3.59,Connacht
1573,50,290.91,Regular Air,108.19,12.16,Munster
1574,49,295.24,Express Air,279.93,9.2,Ulster
1575,28,64.82,Regular Air,32.03,11.42,Connacht
1576,43,112.63,Regular Air,201.6,6.7,Connacht
1577,2,75.23,Regular Air,51.5,4.22,Leinster
1578,22,834.81,Regular Air,1.98,74.66,Munster
1579,46,88.1,Regular Air,161.61,0.14,Ulster
1580,30,288.45,Regular Air,5.98,12.88,Connacht
1581,36,4733.7,Delivery Truck,624.36,222.02,Munster
1582,33,1817.9,Regular Air,700.31,208.2,Ulster
1583,8,94.35,Regular Air,42.22,6.4,Ulster
1584,29,21046.74,Regular Air,5217.27,679.65,Ulster
1585,37,14383.83,Delivery Truck,5050.1,224.76,Munster
1586,35,2329.646,Express Air,310.24,42.73,Munster
1587,26,1976.3945,Regular Air,473.36,18.76,Connacht
1588,30,4253.009,Regular Air,1115.69,98.32,Leinster
1589,7,53.14,Regular Air,14.57,3.88,Munster
1590,6,1854.94,Regular Air,559.78,102.03,Ulster
1591,11,5155.35,Delivery Truck,501.51,160.16,Connacht
1592,4,3465.97,Regular Air,194.32,437.36,Connacht
1593,31,1526.67,Express Air,118.82,61.1,Ulster
1594,1,182.4,Regular Air,114.22,4.06,Ulster
1595,5,41.25,Regular Air,23.25,2.04,Ulster
1596,2,56.13,Regular Air,48.85,9.85,Ulster
1597,5,88.94,Regular Air,47.54,2.71,Ulster
1598,41,9312.52,Regular Air,3039.37,258.9,Munster
1599,23,66.02,Regular Air,10.88,9.66,Munster
1600,49,14981.74,Regular Air,1791.5,693.01,Munster
1601,2,11.15,Regular Air,5.54,0.47,Connacht
1602,48,326.1,Regular Air,118.74,44.44,Ulster
1603,38,225.21,Regular Air,66.16,10.06,Connacht
1604,16,79.53,Regular Air,48.55,3.33,Connacht
1605,32,3046.01,Delivery Truck,998.65,267.79,Ulster
1606,36,147.71,Regular Air,40.04,4.94,Connacht
1607,33,195.98,Regular Air,71.47,16.97,Ulster
1608,33,223.88,Regular Air,55.21,43.34,Munster
1609,41,396.15,Regular Air,10.98,26.17,Munster
1610,36,711.1,Regular Air,241.08,2.08,Connacht
1611,14,438.47,Express Air,157.89,36.27,Munster
1612,15,183.43,Regular Air,41.86,9.85,Munster
1613,38,5228.2,Regular Air,691.52,807.43,Ulster
1614,46,7965.9025,Regular Air,2311.96,795.82,Munster
1615,12,97.74,Regular Air,8.5,0.44,Leinster
1616,40,1184.03,Regular Air,20.79,86.16,Ulster
1617,27,384.74,Express Air,2.69,71.63,Ulster
1618,18,99.36,Regular Air,51.2,13.71,Ulster
1619,29,2823.0370000000003,Regular Air,372.4,3.39,Munster
1620,13,371.94,Regular Air,106.53,30.86,Ulster
1621,15,502.8,Regular Air,19.1,20.61,Connacht
1622,4,14.75,Regular Air,2.49,0.25,Leinster
1623,18,389.52,Express Air,116.37,33.1,Leinster
1624,47,280.45,Regular Air,143.65,36.26,Ulster
1625,23,116.56,Regular Air,50.66,3.02,Connacht
1626,12,2237.76,Delivery Truck,151.86,54.0,Munster
1627,50,197.36,Regular Air,43.5,23.97,Munster
1628,5,32.77,Regular Air,17.19,0.55,Munster
1629,3,221.4675,Regular Air,302.23,40.32,Connacht
1630,5,14.61,Regular Air,1.17,2.36,Leinster
1631,49,645.14,Regular Air,26.32,47.73,Leinster
1632,46,557.35,Regular Air,9.19,42.84,Ulster
1633,14,37.9,Regular Air,22.01,3.43,Connacht
1634,37,102.46,Regular Air,36.64,1.53,Leinster
1635,4,242.36,Regular Air,131.48,13.87,Connacht
1636,41,998.05,Regular Air,391.14,43.33,Connacht
1637,39,231.08,Express Air,79.08,11.67,Munster
1638,29,1669.88,Regular Air,548.92,96.27,Leinster
1639,27,217.68,Regular Air,168.75,19.56,Connacht
1640,39,268.94,Regular Air,87.52,13.49,Ulster
1641,36,18028.07,Delivery Truck,8157.7,1972.76,Connacht
1642,3,315.27,Regular Air,278.6,6.5,Connacht
1643,11,67.14,Regular Air,29.98,3.42,Munster
1644,30,4278.61,Delivery Truck,955.56,233.59,Munster
1645,5,32.5,Regular Air,16.67,0.9,Leinster
1646,27,3853.47,Regular Air,21.5,160.09,Leinster
1647,24,223.2,Regular Air,78.74,16.59,Munster
1648,36,1435.95,Regular Air,486.9,54.17,Munster
1649,30,2951.7,Delivery Truck,1111.45,225.78,Ulster
1650,39,1939.66,Express Air,540.67,103.56,Connacht
1651,31,1359.74,Express Air,202.33,121.16,Connacht
1652,13,83.31,Regular Air,22.8,4.99,Connacht
1653,46,18824.42,Delivery Truck,575.35,1825.65,Leinster
1654,37,426.64,Regular Air,96.95,16.87,Ulster
1655,16,187.78,Regular Air,21.82,10.99,Munster
1656,41,257.66,Regular Air,69.23,22.38,Leinster
1657,39,1101.28,Regular Air,200.53,12.13,Ulster
1658,24,3118.6,Express Air,804.2,274.75,Leinster
1659,44,2422.4405,Regular Air,568.18,159.76,Connacht
1660,17,253.38,Express Air,35.78,24.99,Leinster
1661,18,203.57,Regular Air,4.84,7.96,Leinster
1662,4,25.52,Regular Air,1.99,0.81,Leinster
1663,11,78.68,Regular Air,29.07,3.58,Connacht
1664,16,577.0,Delivery Truck,112.88,25.74,Leinster
1665,19,2328.62,Delivery Truck,45.54,17.73,Ulster
1666,35,224.58,Regular Air,108.49,32.62,Munster
1667,47,155.22,Regular Air,23.34,12.99,Munster
1668,8,105.95,Regular Air,44.33,21.18,Munster
1669,6,273.38,Express Air,170.91,15.68,Connacht
1670,21,98.88,Express Air,36.01,6.75,Ulster
1671,15,441.58,Regular Air,117.39,15.01,Leinster
1672,35,738.69,Regular Air,109.16,1.22,Munster
1673,38,1785.74,Express Air,739.48,296.29,Connacht
1674,8,1095.27,Delivery Truck,281.22,108.37,Munster
1675,39,116.63,Regular Air,6.81,6.43,Munster
1676,16,112.81,Regular Air,85.23,10.26,Connacht
1677,22,68.92,Regular Air,2.63,6.09,Munster
1678,32,225.16,Regular Air,33.69,5.45,Leinster
1679,37,436.67,Regular Air,51.91,28.66,Leinster
1680,33,68.42,Regular Air,57.97,8.92,Connacht
1681,16,116.69,Regular Air,11.69,7.5,Munster
1682,42,1763.6,Regular Air,455.37,33.7,Leinster
1683,36,331.37,Express Air,172.17,19.55,Connacht
1684,8,631.73,Express Air,122.43,64.44,Leinster
1685,4,294.89,Regular Air,321.84,14.86,Connacht
1686,45,177.88,Regular Air,146.97,9.62,Munster
1687,4,430.848,Regular Air,492.77,26.41,Ulster
1688,34,667.35,Regular Air,80.92,8.06,Leinster
1689,40,257.43,Regular Air,200.63,6.76,Connacht
1690,8,157.51,Regular Air,46.48,10.33,Munster
1691,19,359.68,Regular Air,187.15,23.03,Munster
1692,6,1718.43,Delivery Truck,192.49,54.97,Munster
1693,28,269.28,Regular Air,113.63,52.99,Munster
1694,21,128.86,Express Air,24.53,5.08,Ulster
1695,37,108.33,Regular Air,17.0,7.94,Ulster
1696,39,1357.53,Regular Air,562.92,128.38,Connacht
1697,41,231.26,Regular Air,32.83,43.43,Connacht
1698,28,967.27,Regular Air,309.31,42.77,Connacht
1699,17,114.28,Regular Air,38.72,1.7,Munster
1700,28,1650.411,Regular Air,335.08,201.43,Leinster
1701,9,95.09,Regular Air,13.53,7.47,Munster
1702,34,179.99,Regular Air,102.27,3.47,Leinster
1703,15,1393.39,Regular Air,84.15,239.33,Ulster
1704,10,1410.93,Delivery Truck,317.48,101.64,Ulster
1705,7,1158.26,Regular Air,170.08,67.96,Leinster
1706,6,451.44,Regular Air,35.19,43.73,Leinster
1707,22,8789.54,Delivery Truck,1025.19,406.12,Ulster
1708,21,48.01,Express Air,6.85,3.82,Connacht
1709,27,9293.82,Regular Air,2437.17,615.87,Munster
1710,32,153.98,Regular Air,71.6,22.51,Leinster
1711,26,64.03,Regular Air,11.42,4.79,Leinster
1712,34,2932.99,Regular Air,1448.83,105.28,Leinster
1713,8,84.64,Express Air,9.29,1.67,Munster
